STUDY,STUDY_TYPE,DURATION_TYPE,SUBJECT_GROUP,SUBJECT_DETAILS,SUBJECT_NOTES,EXPOSURE_DETAILS,TIMING_OF_MEASUREMENT,ENDPOINT_CATEGORY,ENDPOINT,RESPONSE,P_VALUE,Increasing (Red) Decreasing (Blue),SUBJECT_TEXT
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,SDNN,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,RMSSD,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,SDNN,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,RMSSD,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,SBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,DBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,ACE,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,SBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,DBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,ACE,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,SDNN,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,RMSSD,No Significant Change,>0.5,0,Adults--With and Without Asthma 
